Read	Genome	Species	Genus	Family	Order	Class	Phylum	Superkingdom	MaxScore
SRR227300.1.1	GCF_022869985.1	562	561	543	91347	1236	1224	2	-12129.415
SRR227300.2.1	GCF_022869985.1	562	561	543	91347	1236	1224	2	-18177.947
SRR227300.3.1	GCF_022869985.1	562	561	543	91347	1236	1224	2	-36016.176
SRR227300.4.1	GCF_022869985.1	562	561	543	91347	1236	1224	2	-22080.883
SRR227300.5.1	GCF_022869985.1	562	561	543	91347	1236	1224	2	-18048.531
SRR032501.1.2	GCF_000834455.1	29485	629	1903411	91347	1236	1224	2	-10191.807
SRR032501.3.2	GCF_000834455.1	29485	629	1903411	91347	1236	1224	2	-8191.8066
SRR032501.2.2	GCF_000834455.1	29485	629	1903411	91347	1236	1224	2	-6175.8228
SRR032501.5.2	GCF_000834455.1	29485	629	1903411	91347	1236	1224	2	-12159.84
SRR032501.4.2	GCF_000834455.1	29485	629	1903411	91347	1236	1224	2	-4191.807
